OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
267,45,1102169833212,Kelker Aly,M,S1730,0.000850002691850,-76.887970405709609,40.273125724372733
268,45,1102169833212,Kelker Aly,M,S1730,0.000850002691850,-76.887815513674980,40.273195764473030
269,45,1102169833212,Kelker Aly,M,S1730,0.000850002691850,-76.887659756492553,40.273263882722063
270,45,1102169833212,Kelker Aly,M,S1730,0.000850002691850,-76.887504000209390,40.273332000071775
271,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897307999964198,40.275740999647496
272,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897395200028427,40.275861999831477
273,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897482400092656,40.275983000015515
274,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897569600156885,40.276103999300176
275,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897656800221114,40.276224999484214
276,46,1102169841273,River St,M,S1400,0.000745735412250,-76.897744000285343,40.276345999668195
277,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.885752000354501,40.268057999677012
278,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.885827152201273,40.268178843378962
279,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.885904536165356,40.268298259856863
280,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.885988901566520,40.268412440481768
281,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.886064746790566,40.268532848911889
282,47,110479895439,Plum St,M,S1400,0.000711530671178,-76.886141000306907,40.268653000135885
283,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.895899999785115,40.272418000190612
284,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.894153450721149,40.273151235441219
285,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.892409515087024,40.273890644537687
286,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.890665781800351,40.274630556355135
287,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.888921088037762,40.275367963560711
288,48,1102302576467,Hamilton St,M,S1400,0.009471148699874,-76.887177000418205,40.276107000337845
289,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.891576000032330,40.278163999868752
290,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.891746066327869,40.278406465186265
291,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.891916336769498,40.278648787511599
292,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.892089610946755,40.278888964953808
293,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.892263805130483,40.279128482293686
294,49,110479897601,Myers Aly,M,S1400,0.001480812394524,-76.892438000213474,40.279367999633507
295,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892244000260348,40.268185000137692
296,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892369161607462,40.268335066410259
297,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892494158378668,40.268485268480390
