OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
87,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.901535530340425,40.296950692620442
88,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.899784229258728,40.296850590882116
89,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.898032894002824,40.296756707056431
90,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.896282000314045,40.296650999843848
91,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896387999806279,40.295818000100667
92,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896290513296492,40.296558394854117
93,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896214195928337,40.297305948210976
94,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896135504350013,40.298053286629909
95,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896059828198474,40.298800938012960
96,20,1106087392619,Hoffman St,M,S1400,0.003757354057072,-76.896043000084376,40.299551999625123
97,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.901773999970089,40.291223999587942
98,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.901681980438980,40.291890142715943
99,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.901586953575020,40.292555814599211
100,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.901500217560965,40.293222554877048
101,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.901914617065870,40.293507029326008
102,21,110479904354,Parkside Ln,M,S1400,0.003362345400277,-76.902585999644145,40.293544999602091
103,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.900224000437220,40.298942000273144
104,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.899664298368634,40.298906644326223
105,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.899104422730886,40.298874173404442
106,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.898544439174486,40.298843567676556
